,NB Score,SGD Score,Tree Score,,NB Average Score,SGD Average Score,Tree Average Score
120,0.444444444,0.555555556,0.444444444,,,,
121,0.277777778,0.388888889,0.222222222,,,,
122,0.277777778,0.444444444,0.333333333,,,,
123,0.444444444,0.555555556,0.388888889,,,,
124,0.277777778,0.5,0.388888889,,,,
125,0.277777778,0.444444444,0.333333333,,,,
126,0.222222222,0.388888889,0.277777778,,,,
127,0.222222222,0.444444444,0.333333333,,,,
128,0.555555556,0.722222222,0.555555556,,,,
129,0.277777778,0.5,0.333333333,,,,
130,0.444444444,0.388888889,0.388888889,,,,
131,0.444444444,0.444444444,0.333333333,,,,
132,0.333333333,0.388888889,0.333333333,,,,
133,0.222222222,0.388888889,0.277777778,,,,
134,0.388888889,0.444444444,0.333333333,,,,
135,0.666666667,0.722222222,0.555555556,,,,
136,0.5,0.555555556,0.5,,,,
137,0.388888889,0.555555556,0.444444444,,,,
138,0.555555556,0.611111111,0.388888889,,,,
139,0.277777778,0.277777778,0.333333333,,,,
140,0.388888889,0.444444444,0.388888889,,,,
141,0.277777778,0.333333333,0.222222222,,,,
142,0.277777778,0.388888889,0.333333333,,,,
143,0.277777778,0.333333333,0.222222222,,,,
144,0.444444444,0.611111111,0.5,,,,
145,0.222222222,0.555555556,0.222222222,,,,
146,0.388888889,0.5,0.333333333,,,,
147,0.388888889,0.444444444,0.388888889,,,,
148,0.333333333,0.444444444,0.277777778,,,,
149,0.5,0.611111111,0.5,,,,
150,0.166666667,0.388888889,0.222222222,,,,
151,0.5,0.722222222,0.555555556,,,,
152,0.333333333,0.555555556,0.333333333,,,,
153,0.277777778,0.5,0.333333333,,,,
154,0.333333333,0.388888889,0.222222222,,,,
155,0.277777778,0.444444444,0.277777778,,,,
156,0.722222222,0.833333333,0.722222222,,,,
157,0.444444444,0.5,0.444444444,,,,
158,0.5,0.611111111,0.388888889,,,,
159,0.333333333,0.5,0.388888889,,,,
160,0.444444444,0.5,0.444444444,,,,
161,0.444444444,0.555555556,0.388888889,,,,
162,0.388888889,0.444444444,0.388888889,,,,
163,0.222222222,0.166666667,0.222222222,,,,
164,0.5,0.611111111,0.388888889,,,,
165,0.444444444,0.611111111,0.444444444,,,,
166,0.444444444,0.666666667,0.5,,,,
167,0.444444444,0.5,0.444444444,,,,
168,0.444444444,0.555555556,0.5,,,,
169,0.444444444,0.611111111,0.5,,,,
170,0.388888889,0.555555556,0.333333333,,,,
171,0.333333333,0.444444444,0.277777778,,,,
172,0.666666667,0.611111111,0.5,,,,
173,0.333333333,0.555555556,0.333333333,,,,
174,0.388888889,0.666666667,0.5,,,,
175,0.388888889,0.555555556,0.333333333,,,,
176,0.5,0.722222222,0.611111111,,,,
177,0.444444444,0.444444444,0.388888889,,,,
178,0.388888889,0.444444444,0.333333333,,,,
179,0.166666667,0.277777778,0.111111111,,,,
180,0.444444444,0.5,0.277777778,,,,
181,0.444444444,0.5,0.5,,,,
182,0.388888889,0.5,0.277777778,,,,
183,0.333333333,0.555555556,0.388888889,,,,
184,0.277777778,0.333333333,0.277777778,,,,
185,0.444444444,0.388888889,0.388888889,,,,
186,0.5,0.5,0.333333333,,,,
187,0.611111111,0.777777778,0.666666667,,,,
188,0.444444444,0.5,0.388888889,,,,
189,0.444444444,0.5,0.388888889,,,,
190,0.388888889,0.555555556,0.388888889,,,,
191,0.444444444,0.555555556,0.388888889,,,,
192,0.555555556,0.5,0.444444444,,,,
193,0.277777778,0.444444444,0.388888889,,,,
194,0.333333333,0.388888889,0.222222222,,,,
195,0.333333333,0.388888889,0.333333333,,,,
196,0.388888889,0.388888889,0.277777778,,,,
197,0.444444444,0.611111111,0.333333333,,,,
198,0.277777778,0.555555556,0.222222222,,,,
199,0.333333333,0.722222222,0.333333333,,,,
200,0.222222222,0.5,0.111111111,,,,
201,0.555555556,0.666666667,0.555555556,,,,
202,0.5,0.611111111,0.333333333,,,,
203,0.444444444,0.5,0.388888889,,,,
204,0.277777778,0.388888889,0.222222222,,,,
205,0.444444444,0.5,0.5,,,,
206,0.388888889,0.722222222,0.444444444,,,,
207,0.333333333,0.444444444,0.388888889,,,,
208,0.333333333,0.5,0.333333333,,,,
209,0.222222222,0.444444444,0.277777778,,,,
210,0.222222222,0.666666667,0.444444444,,,,
211,0.333333333,0.555555556,0.277777778,,,,
212,0.5,0.611111111,0.5,,,,
213,0.555555556,0.611111111,0.444444444,,,,
214,0.388888889,0.555555556,0.444444444,,,,
215,0.222222222,0.333333333,0.222222222,,,,
216,0.388888889,0.555555556,0.444444444,,,,
217,0.555555556,0.611111111,0.444444444,,,,
218,0.444444444,0.5,0.444444444,,,,
219,0.5,0.611111111,0.555555556,,,,
220,0.5,0.5,0.444444444,,,,
221,0.444444444,0.722222222,0.5,,,,
222,0.277777778,0.444444444,0.333333333,,,,
223,0.277777778,0.388888889,0.277777778,,,,
224,0.5,0.611111111,0.388888889,,,,
225,0.166666667,0.166666667,0.111111111,,,,
226,0.555555556,0.611111111,0.555555556,,,,
227,0.5,0.777777778,0.5,,,,
228,0.666666667,0.666666667,0.555555556,,,,
229,0.222222222,0.5,0.333333333,,,,
230,0.5,0.555555556,0.444444444,,,,
231,0.222222222,0.444444444,0.277777778,,,,
232,0.222222222,0.5,0.277777778,,,,
233,0.555555556,0.555555556,0.5,,,,
234,0.5,0.611111111,0.555555556,,,,
235,0.666666667,0.944444444,0.666666667,,,,
236,0.5,0.611111111,0.388888889,,,,
237,0.5,0.555555556,0.444444444,,,,
238,0.444444444,0.388888889,0.333333333,,,,
239,0.611111111,0.666666667,0.611111111,,,,
240,0.388888889,0.611111111,0.444444444,,,,
241,0.277777778,0.388888889,0.333333333,,,,
242,0.555555556,0.444444444,0.444444444,,,,
243,0.388888889,0.777777778,0.5,,,,
244,0.5,0.555555556,0.5,,,,
245,0.444444444,0.611111111,0.388888889,,,,
246,0.666666667,0.722222222,0.555555556,,,,
247,0.388888889,0.611111111,0.444444444,,,,
248,0.444444444,0.444444444,0.333333333,,,,
249,0.222222222,0.222222222,0.277777778,,,,
250,0.277777778,0.388888889,0.277777778,,,,
251,0.111111111,0.333333333,0.111111111,,,,
252,0.388888889,0.666666667,0.277777778,,,,
253,0.333333333,0.444444444,0.333333333,,,,
254,0.333333333,0.388888889,0.333333333,,,,
255,0.611111111,0.666666667,0.444444444,,,,
256,0.5,0.611111111,0.444444444,,,,
257,0.5,0.555555556,0.444444444,,,,
258,0.388888889,0.444444444,0.333333333,,,,
259,0.277777778,0.555555556,0.277777778,,,,
260,0.444444444,0.444444444,0.333333333,,,,
261,0.333333333,0.611111111,0.333333333,,,,
262,0.388888889,0.611111111,0.5,,,,
