Name,Twitter ID,Party
RepMcKinley,240427862,Republican
RepLindaSanchez,312134473,Democrat
RoyBlunt,21269970,Republican
RepFrankLucas,242772524,Republican
repdarrellissa,63650107,Republican
RepBrianBabin,2929491549,Republican
RepMTG,1344356576786866176,Republican
Robert_Aderholt,76452765,Republican
JerryMoran,18632666,Republican
SenCoryGardner,235217558,Republican
EnergyGOP,82657929,Republican
RepJacobs,1276232539510919168,Republican
louiseslaughter,63169388,Democrat
RepDarrenSoto,818713465653051392,Democrat
RepCardenas,1222257180,Democrat
SenJeffMerkley,29201047,Democrat
LacyClayMO1,584912320,Democrat
SenSasse,2962923040,Republican
RepBobGood,1345536897838436353,Republican
ChuckGrassley,10615232,Republican
AlanGrayson,41017380,Democrat
repjimcooper,22523087,Democrat
SenatorLujan,19318314,Democrat
SenWhitehouse,242555999,Democrat
SenTedCruz,1074480192,Republican
Jim_Jordan,18166778,Republican
TeamCornyn,1648117711,Republican
RepTiffany,1267841066335682562,Republican
SenateGOP,14344823,Republican
RepDonaldsPress,1343968646050283522,Republican
RepMoBrooks,237299871,Republican
RepSpartz,1344845201479663621,Republican
RepCummings,787373558,Democrat
RepRonnyJackson,1341903465610686464,Republican
RepMikeHonda,16583468,Democrat
RepRaulRuizMD,1089859058,Democrat
Call_Me_Dutch,305620929,Democrat
hoeven4senate,106733567,Republican
SenatorWicker,264219447,Republican
SenatorMenendez,18695134,Democrat
ThadforMS,2285422184,Republican
VernBuchanan,20467163,Republican
SenToddYoung,234128524,Republican
RepCarolMiller,1081318716573470720,Republican
RepMarciaFudge,153486399,Democrat
RepBalderson,1037341536592310272,Republican
RepSpeier,24913074,Democrat
SenatorKirk,211588974,Republican
RepDonBeyer,2962868158,Democrat
repdinatitus,122174004,Democrat
SenBooker,2167097881,Democrat
michaelcburgess,15751083,Republican
RepTedBudd,817138492614524928,Republican
repmarkpocan,1206227149,Democrat
RepGaramendi,88806753,Democrat
RepTomEmmer,2914515430,Republican
repjulialetlow,1382395679700439041,Republican
SenatorLankford,225921757,Republican
RepRalphNorman,880480631108644864,Republican
FrankPallone,31801993,Democrat
SenFinance,701821488,Republican
RepDonBacon,818975124460335106,Republican
RodneyDavis,993153006,Republican
RepTroyNehls,1347318288850825217,Republican
EnziforWyo,1848942470,Republican
PortmanPress,240790556,Republican
RepJamesComer,1274852794206388225,Republican
lisamurkowski,18061669,Republican
RepBuddyCarter,2973870195,Republican
RepJimmyPanetta,796736612554117120,Democrat
RepMarkTakano,1037321378,Democrat
ChrisCoons,15324851,Democrat
RepAdamSmith,58928690,Democrat
repblumenauer,15954997,Democrat
SenBlumenthal,278124059,Democrat
SenatorWarnock,1352287997853622273,Democrat
MarkAmodeiNV2,402719755,Republican
votetimscott,81191343,Republican
RepBera,950783972,Democrat
TulsiPress,1064206014,Democrat
RepJimCosta,245451804,Democrat
RepMariaSalazar,1325928411689349120,Republican
RepAndreCarson,199325935,Democrat
SenatorBurr,21157904,Republican
markkirkhq,3141135982,Republican
SenThomTillis,2964174789,Republican
SenToomey,221162525,Republican
JuliaBrownley,44251742,Democrat
RepJohnConyers,138770045,Democrat
chakafattah,48086014,Democrat
RepMichaelGuest,1081243468327018496,Republican
TeamMcCain,4107251,Republican
JimLangevin,18909919,Democrat
